Standard,Material,Heat_Treatment,Ultimate_Strength_MPa,Yield_Strength_MPa,Elongation_pct,Hardness_Bhn,Elastic_Modulus_MPa,Shear_Modulus_MPa,Poisson_Ratio,Density_kg_m3
ANSI,Steel SAE 1060,annealed,626.0,372.0,22.5,179.0,207000,79000,0.3,7860
ANSI,Steel SAE 1060,tempered at 600 F,1103.0,779.0,13.0,321.0,207000,79000,0.3,7860
ANSI,Steel SAE 1080,as-rolled,965.0,586.0,12.0,293.0,207000,79000,0.3,7860
ANSI,Steel SAE 1080,normalized,1010.0,524.0,11.0,293.0,207000,79000,0.3,7860
ANSI,Steel SAE 1080,annealed,615.0,376.0,24.7,174.0,207000,79000,0.3,7860
ANSI,Steel SAE 1080,tempered at 600 F,1303.0,979.0,12.0,388.0,207000,79000,0.3,7860
ANSI,Steel SAE 1095,as-rolled,965.0,572.0,9.0,293.0,207000,79000,0.3,7860
ANSI,Steel SAE 1095,normalized,1014.0,500.0,9.5,293.0,207000,79000,0.3,7860
ANSI,Steel SAE 1095,annealed,657.0,379.0,13.0,192.0,207000,79000,0.3,7860
ANSI,Steel SAE 1095,tempered at 400 F,1289.0,827.0,10.0,401.0,207000,79000,0.3,7860
ANSI,Steel SAE 1117,as-rolled,487.0,305.0,33.0,143.0,207000,79000,0.3,7860
ANSI,Steel SAE 1117,normalized,467.0,303.0,33.5,137.0,207000,79000,0.3,7860
ANSI,Steel SAE 1117,annealed,429.0,279.0,32.8,121.0,207000,79000,0.3,7860
ANSI,Steel SAE 1118,as-rolled,521.0,316.0,32.0,149.0,207000,79000,0.3,7860
ANSI,Steel SAE 1118,normalized,477.0,319.0,33.5,143.0,207000,79000,0.3,7860
ANSI,Steel SAE 1118,annealed,450.0,284.0,34.5,131.0,207000,79000,0.3,7860
ANSI,Steel SAE 1137,as-rolled,627.0,379.0,28.0,192.0,207000,79000,0.3,7860
ANSI,Steel SAE 1137,normalized,669.0,396.0,22.5,197.0,207000,79000,0.3,7860
ANSI,Steel SAE 1137,annealed,584.0,345.0,26.8,174.0,207000,79000,0.3,7860
ANSI,Steel SAE 1137,tempered at 400 F,1082.0,938.0,5.0,352.0,207000,79000,0.3,7860
ANSI,Steel SAE 1141,as-rolled,676.0,359.0,22.0,192.0,207000,79000,0.3,7860
ANSI,Steel SAE 1141,normalized,707.0,405.0,22.7,201.0,207000,79000,0.3,7860
ANSI,Steel SAE 1141,annealed,598.0,353.0,25.5,163.0,207000,79000,0.3,7860
ANSI,Steel SAE 1141,tempered at 400 F,1634.0,1213.0,6.0,461.0,207000,79000,0.3,7860
ANSI,Steel SAE 1144,as-rolled,703.0,421.0,21.0,212.0,207000,79000,0.3,7860
ANSI,Steel SAE 1144,normalized,667.0,400.0,21.0,197.0,207000,79000,0.3,7860
ANSI,Steel SAE 1144,annealed,584.0,346.0,24.8,167.0,207000,79000,0.3,7860
ANSI,Steel SAE 1144,tempered at 400 F,876.0,627.0,17.0,277.0,207000,79000,0.3,7860
ANSI,Steel SAE 1340,normalized,836.0,558.0,22.0,248.0,207000,79000,0.3,7860
ANSI,Steel SAE 1340,annealed,703.0,436.0,25.5,207.0,207000,79000,0.3,7860
ANSI,Steel SAE 1340,tempered at 400 F,1806.0,1593.0,11.0,505.0,207000,79000,0.3,7860
ANSI,Steel SAE 3140,normalized,891.0,600.0,19.7,262.0,207000,79000,0.3,7860
ANSI,Steel SAE 3140,annealed,689.0,422.0,24.5,197.0,207000,79000,0.3,7860
ANSI,Steel SAE 4037,tempered at 400 F,1027.0,758.0,6.0,310.0,207000,79000,0.3,7860
ANSI,Steel SAE 4042,tempered at 400 F,1800.0,1662.0,12.0,516.0,207000,79000,0.3,7860
ANSI,Steel SAE 4130,normalized,669.0,436.0,25.5,197.0,207000,79000,0.3,7860
ANSI,Steel SAE 4130,annealed,560.0,360.0,28.2,156.0,207000,79000,0.3,7860
ANSI,Steel SAE 4130,tempered at 400 F,1627.0,1462.0,10.0,467.0,207000,79000,0.3,7860
ANSI,Steel SAE 4140,normalized,1020.0,655.0,17.7,302.0,207000,79000,0.3,7860
ANSI,Steel SAE 4140,annealed,655.0,417.0,25.7,197.0,207000,79000,0.3,7860
ANSI,Steel SAE 4140,tempered at 400 F,1772.0,1641.0,8.0,510.0,207000,79000,0.3,7860
ANSI,Steel SAE 4150,normalized,1155.0,734.0,11.7,321.0,207000,79000,0.3,7860
ANSI,Steel SAE 4150,annealed,729.0,379.0,20.2,197.0,207000,79000,0.3,7860
ANSI,Steel SAE 4150,tempered at 400 F,1931.0,1724.0,10.0,530.0,207000,79000,0.3,7860
ANSI,Steel SAE 4320,normalized,793.0,464.0,20.8,235.0,207000,79000,0.3,7860
ANSI,Steel SAE 4320,annealed,579.0,425.0,29.0,163.0,207000,79000,0.3,7860
ANSI,Steel SAE 4340,normalized,1279.0,862.0,12.2,363.0,207000,79000,0.3,7860
ANSI,Steel SAE 4340,annealed,745.0,472.0,22.0,217.0,207000,79000,0.3,7860
ANSI,Steel SAE 4340,tempered at 400 F,1875.0,1675.0,10.0,520.0,207000,79000,0.3,7860
ANSI,Steel SAE 4620,normalized,574.0,366.0,29.0,174.0,207000,79000,0.3,7860
ANSI,Steel SAE 4620,annealed,512.0,372.0,31.3,149.0,207000,79000,0.3,7860
ANSI,Steel SAE 4820,normalized,755.0,484.0,24.0,229.0,207000,79000,0.3,7860
ANSI,Steel SAE 4820,annealed,681.0,464.0,22.3,197.0,207000,79000,0.3,7860
ANSI,Steel SAE 5046,tempered at 400 F,1744.0,1407.0,9.0,482.0,207000,79000,0.3,7860
ANSI,Steel SAE 5130,tempered at 400 F,1613.0,1517.0,10.0,475.0,207000,79000,0.3,7860
ANSI,Steel SAE 5140,normalized,793.0,472.0,22.7,229.0,207000,79000,0.3,7860
ANSI,Steel SAE 5140,annealed,572.0,293.0,28.6,167.0,207000,79000,0.3,7860
ANSI,Steel SAE 5140,tempered at 400 F,1793.0,1641.0,9.0,490.0,207000,79000,0.3,7860
ANSI,Steel SAE 5150,normalized,870.0,529.0,20.7,255.0,207000,79000,0.3,7860
ANSI,Steel SAE 5150,annealed,676.0,357.0,22.0,197.0,207000,79000,0.3,7860
ANSI,Steel SAE 5150,tempered at 400 F,1944.0,1731.0,5.0,525.0,207000,79000,0.3,7860
ANSI,Steel SAE 5160,normalized,957.0,531.0,17.5,269.0,207000,79000,0.3,7860
ANSI,Steel SAE 5160,annealed,722.0,276.0,17.2,197.0,207000,79000,0.3,7860
ANSI,Steel SAE 5160,tempered at 400 F,2220.0,1793.0,4.0,627.0,207000,79000,0.3,7860
ANSI,Steel SAE 6150,normalized,939.0,615.0,21.8,269.0,207000,79000,0.3,7860
ANSI,Steel SAE 6150,annealed,667.0,412.0,23.0,197.0,207000,79000,0.3,7860
ANSI,Steel SAE 6150,tempered at 400 F,1931.0,1689.0,8.0,538.0,207000,79000,0.3,7860
ANSI,Steel SAE 8620,normalized,633.0,357.0,26.3,183.0,207000,79000,0.3,7860
ANSI,Steel SAE 8620,annealed,536.0,385.0,31.3,149.0,207000,79000,0.3,7860
ANSI,Steel SAE 8630,normalized,650.0,429.0,23.5,187.0,207000,79000,0.3,7860
ANSI,Steel SAE 8630,annealed,564.0,372.0,29.0,156.0,207000,79000,0.3,7860
ANSI,Steel SAE 8630,tempered at 400 F,1641.0,1503.0,9.0,465.0,207000,79000,0.3,7860
ANSI,Steel SAE 8640,tempered at 400 F,1862.0,1669.0,10.0,505.0,207000,79000,0.3,7860
ANSI,Steel SAE 8650,normalized,1024.0,688.0,14.0,302.0,207000,79000,0.3,7860
ANSI,Steel SAE 8650,annealed,715.0,386.0,22.5,212.0,207000,79000,0.3,7860
ANSI,Steel SAE 8650,tempered at 400 F,1937.0,1675.0,10.0,525.0,207000,79000,0.3,7860
ANSI,Steel SAE 8660,tempered at 800 F,1634.0,1551.0,13.0,460.0,207000,79000,0.3,7860
ANSI,Steel SAE 8740,normalized,929.0,607.0,16.0,269.0,207000,79000,0.3,7860
ANSI,Steel SAE 8740,annealed,695.0,415.0,22.2,201.0,207000,79000,0.3,7860
ANSI,Steel SAE 8740,tempered at 400 F,1999.0,1655.0,10.0,578.0,207000,79000,0.3,7860
ANSI,Steel SAE 9255,normalized,933.0,579.0,19.7,269.0,207000,79000,0.3,7860
ANSI,Steel SAE 9255,annealed,774.0,486.0,21.7,229.0,207000,79000,0.3,7860
ANSI,Steel SAE 9255,tempered at 400 F,2103.0,2048.0,1.0,601.0,207000,79000,0.3,7860
ANSI,Steel SAE 9260,tempered at 800 F,1758.0,1503.0,8.0,470.0,207000,79000,0.3,7860
ANSI,Steel SAE 9310,normalized,907.0,571.0,18.8,269.0,207000,79000,0.3,7860
ANSI,Steel SAE 9310,annealed,820.0,440.0,17.3,241.0,207000,79000,0.3,7860
ANSI,Steel SAE 30201,annealed,793.0,379.0,55.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30201,1/4-hard,862.0,517.0,20.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30201,1/2-hard,1034.0,758.0,10.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30201,3/4-hard,1207.0,931.0,5.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30201,Full-hard,1276.0,965.0,4.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30202,annealed,724.0,379.0,55.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30202,1/4-hard,862.0,517.0,12.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30301,annealed,758.0,276.0,60.0,165.0,193000,743000,0.3,8030
ANSI,Steel SAE 30301,1/4-hard,862.0,517.0,25.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30301,1/2-hard,1034.0,758.0,15.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30301,3/4-hard,1207.0,931.0,12.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30301,Full-hard,1276.0,965.0,8.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30302,annealed,621.0,255.0,55.0,155.0,193000,743000,0.3,8030
ANSI,Steel SAE 30302,1/4-hard,862.0,517.0,12.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30302B,annealed,655.0,276.0,50.0,165.0,193000,743000,0.3,8030
ANSI,Steel SAE 30303,annealed,621.0,241.0,50.0,160.0,193000,743000,0.3,8030
ANSI,Steel SAE 30304,annealed,586.0,241.0,55.0,150.0,193000,743000,0.3,8030
ANSI,Steel SAE 30304L,annealed,552.0,207.0,55.0,140.0,193000,743000,0.3,8030
ANSI,Steel SAE 30305,annealed,586.0,255.0,55.0,156.0,193000,743000,0.3,8030
ANSI,Steel SAE 30308,annealed,586.0,241.0,55.0,150.0,193000,743000,0.3,8030
ANSI,Steel SAE 30309,annealed,621.0,276.0,45.0,165.0,193000,743000,0.3,8030
ANSI,Steel SAE 30310,annealed,655.0,276.0,45.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30314,annealed,689.0,345.0,45.0,170.0,193000,743000,0.3,8030
ANSI,Steel SAE 30316,annealed,586.0,241.0,55.0,150.0,193000,743000,0.3,8030
ANSI,Steel SAE 30316L,annealed,538.0,207.0,55.0,145.0,193000,743000,0.3,8030
ANSI,Steel SAE 30317,annealed,621.0,276.0,50.0,160.0,193000,743000,0.3,8030
ANSI,Steel SAE 30321,annealed,600.0,241.0,55.0,150.0,193000,743000,0.3,8030
ANSI,Steel SAE 30347,annealed,634.0,241.0,50.0,160.0,193000,743000,0.3,8030
ANSI,Steel SAE 30348,annealed,634.0,241.0,50.0,160.0,193000,743000,0.3,8030
ANSI,Steel SAE 51403,annealed,517.0,276.0,30.0,155.0,200000,769000,0.3,8030
ANSI,Steel SAE 51403,tempered at 400 F,1310.0,1000.0,15.0,390.0,200000,769000,0.3,8030
ANSI,Steel SAE 51405,annealed,483.0,276.0,30.0,150.0,200000,769000,0.3,8030
ANSI,Steel SAE 51410,annealed,517.0,276.0,30.0,155.0,200000,769000,0.3,8030
ANSI,Steel SAE 51410,tempered at 400 F,1310.0,1000.0,15.0,390.0,200000,769000,0.3,8030
ANSI,Steel SAE 51414,annealed,827.0,655.0,17.0,235.0,200000,769000,0.3,8030
ANSI,Steel SAE 51414,tempered at 400 F,1379.0,1034.0,15.0,415.0,200000,769000,0.3,8030
ANSI,Steel SAE 51416,annealed,517.0,276.0,30.0,155.0,200000,769000,0.3,8030
ANSI,Steel SAE 51416,tempered at 400 F,1310.0,1000.0,15.0,390.0,200000,769000,0.3,8030
ANSI,Steel SAE 51420,annealed,655.0,345.0,25.0,195.0,200000,769000,0.3,8030
ANSI,Steel SAE 51420,tempered at 600 F,1586.0,1344.0,8.0,500.0,200000,769000,0.3,8030
ANSI,Steel SAE 51430,annealed,517.0,310.0,30.0,155.0,200000,769000,0.3,8030
ANSI,Steel SAE 51430F,annealed,552.0,379.0,25.0,170.0,200000,769000,0.3,8030
ANSI,Steel SAE 51431,annealed,862.0,655.0,20.0,260.0,200000,769000,0.3,8030
ANSI,Steel SAE 51431,tempered at 400 F,1413.0,1069.0,15.0,415.0,200000,769000,0.3,8030
ANSI,Steel SAE 51440A,annealed,724.0,414.0,20.0,215.0,200000,769000,0.3,8030
ANSI,Steel SAE 51440A,tempered at 600 F,1793.0,1655.0,5.0,510.0,200000,769000,0.3,8030
ANSI,Steel SAE 51440C,annealed,758.0,448.0,13.0,230.0,200000,769000,0.3,8030
ANSI,Steel SAE 51440C,tempered at 600 F,1965.0,1896.0,2.0,580.0,200000,769000,0.3,8030
ANSI,Steel SAE 51446,annealed,552.0,345.0,23.0,170.0,200000,769000,0.3,8030
ANSI,Steel SAE 51501,annealed,483.0,207.0,28.0,160.0,200000,769000,0.3,8030
ANSI,Steel SAE 51502,annealed,483.0,207.0,30.0,150.0,200000,769000,0.3,8030
ANSI,Grey cast iron class 20,Not specified,138.0,138.0,16.0,170.0,80000,32000,0.25,7160
ANSI,Grey cast iron class 25,Not specified,172.0,172.0,16.0,170.0,98000,39000,0.25,7160
ANSI,Grey cast iron class 30,Not specified,207.0,207.0,16.0,170.0,100000,40000,0.25,7160
ANSI,Grey cast iron class 35,Not specified,241.0,241.0,16.0,170.0,110000,44000,0.25,7160
ANSI,Grey cast iron class 40,Not specified,276.0,276.0,16.0,170.0,117000,47000,0.25,7160
ANSI,Grey cast iron class 50,Not specified,345.0,345.0,16.0,170.0,124000,50000,0.25,7160
ANSI,Grey cast iron class 60,Not specified,414.0,414.0,16.0,170.0,137000,55000,0.25,7160
ANSI,Malleable cast iron,Not specified,276.0,207.0,4.0,170.0,172000,68000,0.27,7160
ANSI,Malleable cast iron,Not specified,414.0,317.0,4.0,170.0,172000,68000,0.27,7160
ANSI,Malleable cast iron,Not specified,552.0,427.0,4.0,170.0,172000,68000,0.27,7160
ANSI,Malleable cast iron,Not specified,689.0,538.0,4.0,170.0,172000,68000,0.27,7160
ANSI,Nodular cast iron,Not specified,414.0,276.0,5.0,170.0,159000,66000,0.2,7160
ANSI,Nodular cast iron,Not specified,552.0,365.0,5.0,170.0,159000,66000,0.2,7160
ANSI,Nodular cast iron,Not specified,689.0,455.0,5.0,170.0,159000,66000,0.2,7160
ANSI,Nodular cast iron,Not specified,827.0,552.0,5.0,170.0,159000,66000,0.2,7160
ANSI,Copper Alloy C80100,Not specified,172.0,62.0,40.0,170.0,108000,40000,0.35,8930
ANSI,High-Copper Alloy C81300,Not specified,365.0,248.0,11.0,170.0,108000,40000,0.35,8930
ANSI,High-Copper Alloy C81500,Not specified,352.0,276.0,17.0,170.0,108000,40000,0.35,8930
ANSI,High-Copper Alloy C81700,Not specified,634.0,469.0,8.0,170.0,108000,40000,0.35,8930
ANSI,Red brass C83300,Not specified,221.0,69.0,35.0,170.0,100000,37000,0.34,8500
ANSI,Red brass C83400,Not specified,241.0,69.0,30.0,170.0,100000,37000,0.34,8500
ANSI,Red brass C83600,Not specified,255.0,117.0,30.0,170.0,100000,37000,0.34,8500
ANSI,Red brass C83800,Not specified,241.0,110.0,25.0,170.0,100000,37000,0.34,8500
ANSI,Semi-red Brass C84200,Not specified,241.0,97.0,27.0,170.0,100000,37000,0.34,8500
ANSI,Semi-red Brass C84400,Not specified,234.0,97.0,26.0,170.0,100000,37000,0.34,8500
ANSI,Semi-red Brass C84500,Not specified,241.0,97.0,28.0,170.0,100000,37000,0.34,8500
ANSI,Semi-red Brass C84800,Not specified,241.0,97.0,30.0,170.0,100000,37000,0.34,8500
ANSI,Yellow Brass C85200,Not specified,262.0,90.0,35.0,170.0,100000,37000,0.34,8500
ANSI,Yellow Brass C85400,Not specified,234.0,83.0,35.0,170.0,100000,37000,0.34,8500
ANSI,Yellow Brass C85500,Not specified,414.0,159.0,40.0,170.0,100000,37000,0.34,8500
ANSI,Yellow Brass C85700,Not specified,345.0,124.0,40.0,170.0,100000,37000,0.34,8500
ANSI,Yellow Brass C85800,Not specified,379.0,207.0,15.0,170.0,100000,37000,0.34,8500
ANSI,Manganese Bronze C86100,Not specified,655.0,345.0,20.0,170.0,120000,45000,0.31,8800
ANSI,Manganese Bronze C86200,Not specified,655.0,331.0,20.0,170.0,120000,45000,0.31,8800
ANSI,Manganese Bronze C86300,Not specified,793.0,572.0,15.0,170.0,120000,45000,0.31,8800
ANSI,Manganese Bronze C86400,Not specified,448.0,172.0,20.0,170.0,120000,45000,0.31,8800
ANSI,Manganese Bronze C86500,Not specified,490.0,193.0,30.0,170.0,120000,45000,0.31,8800
ANSI,Manganese Bronze C86700,Not specified,586.0,290.0,20.0,170.0,120000,45000,0.31,8800
ANSI,Manganese Bronze C86800,Not specified,565.0,262.0,22.0,170.0,120000,45000,0.31,8800
ANSI,Silicon Brass C87200,Not specified,379.0,172.0,30.0,170.0,120000,45000,0.31,8800
ANSI,Silicon Bronze C87400,Not specified,379.0,165.0,30.0,170.0,120000,45000,0.31,8800
ANSI,Silicon Bronze C87500,Not specified,462.0,207.0,21.0,170.0,120000,45000,0.31,8800
ANSI,Silicon Bronze C87600,Not specified,455.0,221.0,20.0,170.0,120000,45000,0.31,8800
ANSI,Silicon Bronze C87800,Not specified,586.0,345.0,25.0,170.0,120000,45000,0.31,8800
ANSI,Silicon Bronze C87900,Not specified,483.0,241.0,25.0,170.0,120000,45000,0.31,8800
ANSI,Tin Bronze C90200,Not specified,262.0,110.0,30.0,170.0,120000,45000,0.31,8800
ANSI,Tin Bronze C90300,Not specified,310.0,145.0,30.0,170.0,120000,45000,0.31,8800
ANSI,Tin Bronze C90500,Not specified,310.0,152.0,25.0,170.0,120000,45000,0.31,8800
ANSI,Tin Bronze C90700,Not specified,303.0,152.0,20.0,170.0,120000,45000,0.31,8800
ANSI,Tin Bronze C90900,Not specified,276.0,138.0,15.0,170.0,120000,45000,0.31,8800
ANSI,Tin Bronze C91000,Not specified,221.0,172.0,2.0,170.0,120000,45000,0.31,8800
ANSI,Tin Bronze C91100,Not specified,241.0,172.0,2.0,170.0,120000,45000,0.31,8800
ANSI,Tin Bronze C91300,Not specified,241.0,207.0,0.5,170.0,120000,45000,0.31,8800
ANSI,Tin Bronze C91600,Not specified,303.0,152.0,16.0,170.0,120000,45000,0.31,8800
ANSI,Tin Bronze C91700,Not specified,303.0,152.0,16.0,170.0,120000,45000,0.31,8800
ANSI,Leaded Tin Bronze C92200,Not specified,276.0,138.0,30.0,170.0,120000,45000,0.31,8800
ANSI,Leaded Tin Bronze C92300,Not specified,276.0,138.0,25.0,170.0,120000,45000,0.31,8800
ANSI,Leaded Tin Bronze C92500,Not specified,303.0,138.0,20.0,170.0,120000,45000,0.31,8800
ANSI,Leaded Tin Bronze C92600,Not specified,303.0,138.0,30.0,170.0,120000,45000,0.31,8800
ANSI,Leaded Tin Bronze C92700,Not specified,290.0,145.0,20.0,170.0,120000,45000,0.31,8800
ANSI,Leaded Tin Bronze C92800,Not specified,276.0,207.0,1.0,170.0,120000,45000,0.31,8800
ANSI,Leaded Tin Bronze C92900,Not specified,324.0,179.0,20.0,170.0,120000,45000,0.31,8800
ANSI,High Leaded Tin Bronze C93200,Not specified,241.0,124.0,20.0,170.0,120000,45000,0.31,8800
ANSI,High Leaded Tin Bronze C93400,Not specified,221.0,110.0,20.0,170.0,120000,45000,0.31,8800
ANSI,High Leaded Tin Bronze C93500,Not specified,221.0,110.0,20.0,170.0,120000,45000,0.31,8800
ANSI,High Leaded Tin Bronze C93700,Not specified,241.0,124.0,20.0,170.0,120000,45000,0.31,8800
ANSI,High Leaded Tin Bronze C93800,Not specified,207.0,110.0,18.0,170.0,120000,45000,0.31,8800
ANSI,High Leaded Tin Bronze C93900,Not specified,221.0,152.0,7.0,170.0,120000,45000,0.31,8800
ANSI,High Leaded Tin Bronze C94300,Not specified,186.0,90.0,15.0,170.0,120000,45000,0.31,8800
ANSI,High Leaded Tin Bronze C94400,Not specified,221.0,110.0,18.0,170.0,120000,45000,0.31,8800
ANSI,High Leaded Tin Bronze C94500,Not specified,172.0,83.0,12.0,170.0,120000,45000,0.31,8800
ANSI,Nickel-Tin Bronze C94700,Not specified,345.0,159.0,35.0,170.0,120000,45000,0.31,8800
ANSI,Nickel-Tin Bronze C94800,Not specified,310.0,159.0,35.0,170.0,120000,45000,0.31,8800
ANSI,Aluminum Bronze C95200,Not specified,552.0,186.0,35.0,170.0,120000,45000,0.32,8800
ANSI,Aluminum Bronze C95300,Not specified,517.0,186.0,25.0,170.0,120000,45000,0.32,8800
ANSI,Aluminum Bronze C95400,Not specified,586.0,241.0,18.0,170.0,120000,45000,0.32,8800
ANSI,Aluminum Bronze C95500,Not specified,689.0,303.0,12.0,170.0,120000,45000,0.32,8800
ANSI,Aluminum Bronze C95600,Not specified,517.0,234.0,18.0,170.0,120000,45000,0.32,8800
ANSI,Aluminum Bronze C95700,Not specified,655.0,310.0,26.0,170.0,120000,45000,0.32,8800
ANSI,Aluminum Bronze C95800,Not specified,655.0,262.0,25.0,170.0,120000,45000,0.32,8800
ANSI,Copper-Nickel C96200,Not specified,310.0,172.0,20.0,170.0,100000,37000,0.34,8500
ANSI,Copper-Nickel C96300,Not specified,517.0,379.0,10.0,170.0,100000,37000,0.34,8500
ANSI,Copper-Nickel C96400,Not specified,469.0,255.0,28.0,170.0,100000,37000,0.34,8500
ANSI,Copper-Nickel C96600,Not specified,758.0,483.0,7.0,170.0,100000,37000,0.34,8500
ANSI,Nickel Silver C97300,Not specified,241.0,117.0,20.0,170.0,100000,37000,0.34,8500
ANSI,Nickel Silver C97400,Not specified,262.0,117.0,20.0,170.0,100000,37000,0.34,8500
ANSI,Nickel Silver C97600,Not specified,310.0,165.0,20.0,170.0,100000,37000,0.34,8500
ANSI,Nickel Silver C97800,Not specified,379.0,207.0,15.0,170.0,100000,37000,0.34,8500
ANSI,Special Alloy C99300,Not specified,655.0,379.0,2.0,170.0,100000,37000,0.34,8500
ANSI,Special Alloy C99400,Not specified,455.0,234.0,25.0,170.0,100000,37000,0.34,8500
ANSI,Special Alloy C99500,Not specified,483.0,276.0,12.0,170.0,100000,37000,0.34,8500
ANSI,Special Alloy C99700,Not specified,379.0,172.0,25.0,170.0,100000,37000,0.34,8500
ANSI,Special Alloy C99750,Not specified,448.0,221.0,30.0,170.0,100000,37000,0.34,8500
ANSI,Copper Alloy C10100,Not specified,221.0,69.0,55.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C15000,Not specified,200.0,41.0,54.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C15500,Not specified,276.0,124.0,40.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C15715,Not specified,359.0,303.0,27.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C15720,Not specified,441.0,372.0,25.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C15760,Not specified,483.0,448.0,22.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C16200,Not specified,241.0,48.0,57.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C16500,Not specified,276.0,97.0,53.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C17000,Not specified,483.0,221.0,45.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C17300,Not specified,469.0,172.0,48.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C17500,Not specified,310.0,172.0,28.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C18200,Not specified,234.0,97.0,40.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C18900,Not specified,262.0,62.0,48.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C19000,Not specified,262.0,138.0,50.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C19100,Not specified,248.0,69.0,27.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C19200,Not specified,255.0,76.0,40.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C19400,Not specified,310.0,165.0,32.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C19500,Not specified,552.0,448.0,15.0,170.0,108000,40000,0.35,8930
ANSI,Copper Alloy C21000,Not specified,234.0,69.0,45.0,170.0,108000,40000,0.35,8930
ANSI,Commercial bronze C22000,Not specified,255.0,69.0,50.0,170.0,105000,40000,0.32,8800
